OP_CARRIER,ORIGIN,DEST,COST,IS_POPULAR
AA,PHL,DEN,1,0
AA,DFW,CMH,1,0
AA,STL,ORD,1,0
AA,JFK,SAN,1,0
AA,DFW,FAT,1,0
AA,FAT,DFW,1,0
AA,MIA,STL,1,0
AA,STL,MIA,1,0
AA,ORD,IND,1,0
AA,BDL,ORD,1,0
AA,DFW,BWI,1,0
AA,DFW,ELP,1,0
AA,ORD,SLC,1,0
AA,DTW,ORD,1,0
AA,DFW,VPS,1,0
AA,VPS,DFW,1,0
AA,DFW,PBI,1,0
AA,TUL,DFW,1,0
AA,LAX,MCO,1,0
AA,CVG,DFW,1,0
AA,SAN,JFK,1,0
AA,DFW,CVG,1,0
AA,SMF,DFW,1,0
AA,DEN,MIA,1,0
AA,MIA,DEN,1,0
AA,BNA,ORD,1,0
AA,ORD,BNA,1,0
MQ,ORD,ATW,1,0
MQ,GRI,DFW,1,0
MQ,BHM,ORD,1,0
MQ,ORD,BHM,1,0
MQ,CHO,LGA,1,0
MQ,LGA,CHO,1,0
MQ,DFW,SPS,1,0
MQ,SPS,DFW,1,0
MQ,DFW,SWO,1,0
MQ,SWO,DFW,1,0
MQ,DAY,DFW,1,0
MQ,LGA,CVG,1,0
MQ,ORD,TUL,1,0
MQ,COU,ORD,1,0
MQ,CLT,LEX,1,0
MQ,LEX,CLT,1,0
MQ,DFW,FAR,1,0
MQ,FAR,DFW,1,0
MQ,CMH,LGA,1,0
MQ,DFW,GRI,1,0
MQ,DFW,MFE,1,0
MQ,MFE,DFW,1,0
MQ,ABQ,ORD,1,0
MQ,ORD,ABQ,1,0
MQ,DTW,LGA,1,0
MQ,LGA,DTW,1,0
MQ,CID,ORD,1,0
MQ,ORD,CID,1,0
MQ,CLE,ORD,1,0
MQ,ORD,SGF,1,0
MQ,DCA,LIT,1,0
MQ,ORD,CHA,1,0
MQ,MIA,CLE,1,0
MQ,ABI,DFW,1,0
MQ,JAX,MIA,1,0
MQ,CHA,ORD,1,0
MQ,TUL,ORD,1,0
MQ,CVG,MIA,1,0
MQ,GRR,ORD,1,0
MQ,ORD,GRR,1,0
MQ,DBQ,ORD,1,0
MQ,ORD,DBQ,1,0
MQ,ORD,SUX,1,0
MQ,SUX,ORD,1,0
MQ,ORD,CLE,1,0
MQ,CLE,MIA,1,0
MQ,ORD,FWA,1,0
MQ,ALB,ORD,1,0
MQ,FAR,ORD,1,0
MQ,IAH,ORD,1,0
MQ,LIT,ORD,1,0
MQ,LGA,SDF,1,0
MQ,SDF,LGA,1,0
MQ,SGF,ORD,1,0
MQ,MIA,TLH,1,0
MQ,TLH,MIA,1,0
MQ,XNA,DFW,1,0
MQ,DFW,XNA,1,0
MQ,JFK,CLE,1,0
MQ,MIA,JAX,1,0
MQ,ORD,RIC,1,0
MQ,ORD,LAN,1,0
